vid,match_id,stage,player1ringname,player1rank,player1character,player2ringname,player2rank,player2character,round_num,player1_rounds_won,p1ko,p1ro,p1ex,player2_rounds_won,p2ko,p2ro,p2ex,round_end_time
1_HXBwHvSQM,3254,1a884233-172c-4900-b292-9f5a51ae51f9,Arena,n/a,42,Blaze,n/a,43,Jean,3,3,1,0,0,0,0,0,0,28.00
1aJYe9AtHFY,60,4482f9a6-bf52-4d8a-90bf-1fe605a7adb7,Sumo Ring,n/a,0,Brad,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
1aJYe9AtHFY,1096,4482f9a6-bf52-4d8a-90bf-1fe605a7adb7,Sumo Ring,n/a,42,Brad,n/a,41,Jean,1,0,0,0,0,1,0,1,0,31.60
1aJYe9AtHFY,2073,4482f9a6-bf52-4d8a-90bf-1fe605a7adb7,Sumo Ring,n/a,42,Brad,n/a,41,Jean,2,1,1,0,0,1,0,0,0,21.00
1aJYe9AtHFY,4685,4482f9a6-bf52-4d8a-90bf-1fe605a7adb7,Sumo Ring,n/a,42,Brad,n/a,41,Jean,3,1,0,0,0,2,1,0,0,15.34
1aJYe9AtHFY,5625,4482f9a6-bf52-4d8a-90bf-1fe605a7adb7,Sumo Ring,n/a,42,Brad,n/a,41,Jean,4,2,1,0,0,2,0,0,0,23.66
23eoVmbyHWg,60,4bf0dbf6-e721-419c-8bd6-00602e43a3f8,Great Wall,n/a,0,Sarah,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
23eoVmbyHWg,1503,4bf0dbf6-e721-419c-8bd6-00602e43a3f8,Great Wall,n/a,42,Sarah,n/a,41,Jean,1,0,0,0,0,1,1,0,0,20.60
23eoVmbyHWg,2410,4bf0dbf6-e721-419c-8bd6-00602e43a3f8,Great Wall,n/a,42,Sarah,n/a,41,Jean,2,1,1,0,0,1,0,0,0,25.41
23eoVmbyHWg,3490,4bf0dbf6-e721-419c-8bd6-00602e43a3f8,Great Wall,n/a,42,Sarah,n/a,41,Jean,3,2,1,0,0,1,0,0,0,18.66
23eoVmbyHWg,4337,4bf0dbf6-e721-419c-8bd6-00602e43a3f8,Great Wall,n/a,42,Sarah,n/a,41,Jean,4,2,0,0,0,2,1,0,0,26.36
24pSKt0O5wc,60,aa48c88a-3885-4ffe-8ea5-60df938d0ad5,City,n/a,0,Aoi,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
24pSKt0O5wc,2824,aa48c88a-3885-4ffe-8ea5-60df938d0ad5,City,n/a,39,Aoi,n/a,42,Jean,1,1,1,0,0,0,0,0,0,18.36
24pSKt0O5wc,5028,aa48c88a-3885-4ffe-8ea5-60df938d0ad5,City,n/a,39,Aoi,n/a,42,Jean,2,2,1,0,0,0,0,0,0,26.66
24pSKt0O5wc,5714,aa48c88a-3885-4ffe-8ea5-60df938d0ad5,City,n/a,39,Aoi,n/a,42,Jean,3,3,1,0,0,0,0,0,0,31.61
25oe8mwSZsw,60,ea91fb69-90e3-41be-b869-15b4a694a9b3,Sumo Ring,n/a,0,Goh,n/a,0,Jean,0,0,0,0,0,0,0,0,0,n/a
25oe8mwSZsw,1308,ea91fb69-90e3-41be-b869-15b4a694a9b3,Sumo Ring,n/a,40,Goh,n/a,42,Jean,1,1,1,0,0,0,0,0,0,24.66
25oe8mwSZsw,1895,ea91fb69-90e3-41be-b869-15b4a694a9b3,Sumo Ring,n/a,40,Goh,n/a,42,Jean,2,2,0,0,1,0,0,0,0,34.06
25oe8mwSZsw,3085,ea91fb69-90e3-41be-b869-15b4a694a9b3,Sumo Ring,n/a,40,Goh,n/a,42,Jean,3,2,0,0,0,1,1,0,0,14.61
